firstName,lastName,price,Over_100
William,Dixon,109.03727963458522,True
Kristen,Horn,262.5246521922521,True
Kimberly,Chang,187.0072582777407,True
Mary,Ball,283.17464763656955,True
Benjamin,Craig,143.8715816881791,True
Cathy,Werner,61.50899135285132,False
Brandon,Bell,48.63730910375834,False
Paul,Farley,12.38946478859294,False
Sarah,Mcdaniel,151.59544716874203,True
Caroline,Anderson,75.62152102993683,False
Carl,Jones,147.02940469082753,True
Scott,Lee,244.1856527060776,True
Kaylee,Coleman,17.864270321996845,False
Charles,Parker,215.5372830242686,True
Susan,Hess,38.35997062871797,False
Kiara,Collier,204.18254858412087,True
Scott,Martinez,165.8514289408149,True
Christopher,Ortega,30.30144506447241,False
Michael,Russell,243.17249105103508,True
Dwayne,Johnson,287.4932856123935,True
Patty,Smith,180.23442574473592,True
Deanna,Sherman,99.79911841562617,False
Douglas,Francis,161.7688908056352,True
Vicki,Diaz,18.649876721417435,False
Robin,Phillips,244.91198356198336,True
Travis,Rice,141.49882541077946,True
Ashley,Rocha,50.00303730985961,False
Sarah,Jacobson,80.48182457363062,False
Kayla,Shannon,98.91531394497848,False
Sean,Wang,220.62821774950513,True
Richard,Estrada,49.168691512056014,False
Joseph,Torres,150.12378419766594,True
Kim,Jones,18.84343770225838,False
Melissa,Tanner,269.18402994297986,True
Jackson,Cline,64.3125172107435,False
Sonya,Foster,296.2155012166741,True
Allen,Williams,15.390831703593,False
Thomas,Rivera,95.22843715592121,False
Jamie,Silva,296.82440753934657,True
Kathleen,Moore,92.50052419128964,False
Evelyn,Pineda,169.22892925664138,True
Kyle,Peters,106.7990952132163,True
Anthony,Cruz,49.10199817319769,False
Eric,Flores,122.95569856549317,True
Anna,Richardson,254.49526058922797,True
Gary,Harper,47.59652591777343,False
Linda,Johnson,115.36278154605294,True
Melissa,Smith,87.97994845806542,False
Kristen,Floyd,135.02304134412356,True
William,Diaz,192.14913546689587,True
Benjamin,Smith,134.90529389051355,True
David,Glenn,216.29104632060702,True
